gps_millis,gnss_sv_id,gnss_id,sv_id,x_sv_m,y_sv_m,z_sv_m,el_sv_deg,az_sv_deg
1303668300000.0,45189,LEO,STARLINK-45189,6753199.527737151,-113165.07025923253,1488860.0641399827,,
1303668300000.0,45190,LEO,STARLINK-45190,1030299747.9763763,363273384.6702387,-13298114.400790742,,
1303668300000.0,45197,LEO,STARLINK-45197,-328461.2422921947,-5787174.922166972,-3832112.643238991,,
1303668300000.0,45198,LEO,STARLINK-45198,-1474555.2917088652,6738792.485453079,737148.05193143,,
1303668300000.0,45201,LEO,STARLINK-45201,5964890.078745692,1800791.9306564217,-3153815.569045971,,
1303668300000.0,45206,LEO,STARLINK-45206,-53206427.141050786,18015401.64586607,22093838.26009038,,
1303668300000.0,45207,LEO,STARLINK-45207,854235442153.1204,-2573788279259.705,724131265226.345,,
1303668300000.0,45212,LEO,STARLINK-45212,1268281.2628506036,-117396.09802236003,1639423.471987286,,
1303668300000.0,45217,LEO,STARLINK-45217,-208092.6656231537,-6103503.051459693,-3300366.7709994833,,
1303668300000.0,45222,LEO,STARLINK-45222,-5140400.775389657,-4383972.375171481,1686147.9772537637,,
1303668300000.0,45223,LEO,STARLINK-45223,-2686239.1175301177,-4528246.4945089845,-4518516.550007445,,
1303668300000.0,45225,LEO,STARLINK-45225,-4688960.4275894975,1356645.703038541,4991985.686752359,,
1303668300000.0,45227,LEO,STARLINK-45227,-4041597.693317614,2393704.224521129,-4648061.99802981,,
1303668300000.0,45228,LEO,STARLINK-45228,3769755.754266211,2443418.1281948253,5273097.612853233,,
1303668300000.0,45229,LEO,STARLINK-45229,-6095303.917137919,283422.2089918932,-3232181.17248971,,
1303668300000.0,45230,LEO,STARLINK-45230,2834075.0124020935,-4681553.982127687,4259467.41790651,,
1303668300000.0,45235,LEO,STARLINK-45235,486388.3260693667,4495712.592550736,5195072.059124819,,
1303668300000.0,45237,LEO,STARLINK-45237,4145207.81455615,-969258.4671106836,5467214.388874049,,
1303668300000.0,45360,LEO,STARLINK-45360,31568372821.048702,-111318546833.21664,32083543826.100883,,
1303668300000.0,45361,LEO,STARLINK-45361,-98193051320.17247,4771878989.139328,-121156023356.3006,,
1303668300000.0,45362,LEO,STARLINK-45362,-1818387666215.0522,5519135943550.488,-4950737252172.512,,
1303668300000.0,45366,LEO,STARLINK-45366,4371378.32342263,899302.0761649532,5361404.052990631,,
1303668300000.0,45367,LEO,STARLINK-45367,780865.2328880997,3928051.5547359055,5108318.146680778,,
1303668300000.0,45368,LEO,STARLINK-45368,4919849.684720806,509809.26045703806,4917323.940860669,,
1303668300000.0,45369,LEO,STARLINK-45369,-4747511.785235301,-4786135.254424913,1835499.3989737602,,
1303668300000.0,45370,LEO,STARLINK-45370,-539200.5059504042,-4626374.857272509,4997682.386093438,,
1303668300000.0,45374,LEO,STARLINK-45374,5428305.245261909,-3642153.6365030403,-2439158.842218629,,
1303668300000.0,45375,LEO,STARLINK-45375,-2479304.4602044346,-4347023.761857877,-4845696.6920364555,,
1303668300000.0,45376,LEO,STARLINK-45376,-5785932.571637509,2791411.568497704,-2737593.19330095,,
1303668300000.0,45377,LEO,STARLINK-45377,-1484994117.2591965,494854763.2231765,655965627.8010352,,
1303668300000.0,45379,LEO,STARLINK-45379,-7080043.532525483,-50792848.83378725,-10759072.850375904,,
1303668300000.0,45383,LEO,STARLINK-45383,-4215587.688848181,-396163.9231393349,-5564968.025247104,,
1303668300000.0,45384,LEO,STARLINK-45384,107594.96497731609,4312366.264258937,5460719.174822007,,
1303668300000.0,45386,LEO,STARLINK-45386,-3873615285.750013,1926866860.3292444,-1469700563.1713111,,
1303668300000.0,45387,LEO,STARLINK-45387,250844861.54516453,-602141182.1205401,-379818866.34367305,,
1303668300000.0,45388,LEO,STARLINK-45388,3159398106.8640194,-44333952816.49779,-37666818966.81962,,
1303668300000.0,45389,LEO,STARLINK-45389,-960344243.503546,1256773997.1731153,-1655684082.6929867,,
1303668300000.0,45390,LEO,STARLINK-45390,-2056062.184441226,-5438724.809580158,-3879903.4750991217,,
1303668300000.0,45394,LEO,STARLINK-45394,1.2978380003720613e+17,-4.833970875129365e+17,-9.999192575460317e+16,,
1303668300000.0,45395,LEO,STARLINK-45395,-245027.7045279697,-4290910.499627517,-5489498.324078188,,
1303668300000.0,45397,LEO,STARLINK-45397,-4295860.631923648,1146446.393216751,5315473.236286563,,
1303668300000.0,45398,LEO,STARLINK-45398,-1.407143853941326e+22,-1.74101821008808e+20,3.2688873810505997e+21,,
1303668300000.0,45399,LEO,STARLINK-45399,50484551.28728018,-749932258.7359211,-961314433.3428739,,
1303668300000.0,45404,LEO,STARLINK-45404,157481.58812650462,-4959278.907822223,-4903416.884179437,,
1303668300000.0,45405,LEO,STARLINK-45405,-769847.5173772651,-4118822.0975774447,-5561723.854071282,,
1303668300000.0,45406,LEO,STARLINK-45406,394052.22877227206,6599931.554057575,-1999316.2222476718,,
1303668300000.0,45408,LEO,STARLINK-45408,-56174943.595301665,-170416333.0001312,-19248457.270903014,,
1303668300000.0,45412,LEO,STARLINK-45412,-5986044.841686269,-3507453.3290048908,192948.1306337753,,
1303668300000.0,45413,LEO,STARLINK-45413,-32098415.294665273,-16997580.009851504,15967360.901067296,,
1303668300000.0,45414,LEO,STARLINK-45414,-1468952.381301937,-3974106.880356687,-5526608.442087745,,
1303668300000.0,45415,LEO,STARLINK-45415,5393666.211274089,3535619.126363994,2581358.4159251694,,
1303668300000.0,45416,LEO,STARLINK-45416,469288587.17177373,-831337163.3568456,1092152665.261889,,
1303668300000.0,45417,LEO,STARLINK-45417,3986551688.5608745,479657535.48773396,2390515150.2932825,,
1303668300000.0,45419,LEO,STARLINK-45419,4464049.61153049,-3289626.8874141867,4243572.437485291,,
1303668600000.0,44751,LEO,STARLINK-44751,-2478728.911585761,6416398.224740622,983080.3751034336,,
1303668600000.0,44752,LEO,STARLINK-44752,4162997.4906133506,-1513709.2520638418,-5277032.062521806,,
1303668600000.0,44753,LEO,STARLINK-44753,4436271.959230394,782887.2867943406,-5292652.108508672,,
1303668600000.0,44758,LEO,STARLINK-44758,573622047.7193203,1086447040.8353362,-1606791326.3613164,,
1303668600000.0,44759,LEO,STARLINK-44759,5.7372115687779546e+17,2.74794496980987e+17,-3.0353360968065754e+17,,
1303668600000.0,44761,LEO,STARLINK-44761,,,,,
1303668600000.0,44765,LEO,STARLINK-44765,-3286682710.501559,332211706.38129175,-667175357.3132508,,
1303668600000.0,44768,LEO,STARLINK-44768,-5831443.883663623,3256459.34574543,1562401.1930836567,,
1303668600000.0,44771,LEO,STARLINK-44771,-892629.800801012,4173221.1173866354,5511143.72759538,,
1303668600000.0,44772,LEO,STARLINK-44772,2021489.0658525694,6198589.588516535,-2500574.570338484,,
1303668600000.0,44925,LEO,STARLINK-44925,28167196.562045224,10003722.855232378,-20026481.681232408,,
1303668600000.0,44927,LEO,STARLINK-44927,2080963.8126815571,-6308337.169234089,1948885.1107074788,,
1303668600000.0,44930,LEO,STARLINK-44930,4066164.1033415627,-1053863.7379936774,5501496.286947739,,
1303668600000.0,44933,LEO,STARLINK-44933,4288143945.997607,-32084717572.486847,-30974708519.601055,,
1303668600000.0,44940,LEO,STARLINK-44940,-40664677.98784444,25226187.579754543,46588869.83246733,,
1303668600000.0,44941,LEO,STARLINK-44941,-3907880.5247336556,-1930617.6544158054,-5373156.287187571,,
1303668600000.0,44942,LEO,STARLINK-44942,1496435772296450.5,-8794131134365926.0,-1.0880117075196678e+16,,
1303668600000.0,44949,LEO,STARLINK-44949,6042316.981713079,3207111.335485938,1179596.0575984078,,
1303668600000.0,44961,LEO,STARLINK-44961,3460836.256658317,5977068.283142768,-473935.5481746419,,
1303668600000.0,44968,LEO,STARLINK-44968,-6616119.17458656,1761068.470453629,1256139.0561149293,,
1303668600000.0,44972,LEO,STARLINK-44972,25855161209597.516,1999930439515.7683,-32691769265867.51,,
1303668600000.0,45044,LEO,STARLINK-45044,-6698473.311117652,189767.1259534826,1795547.132995904,,
