gps_millis,gnss_sv_id,gnss_id,sv_id,x_sv_m,y_sv_m,z_sv_m,el_sv_deg,az_sv_deg
1446684473000.0,45190,LEO,STARLINK-45190,4176692.3608489865,-5353713.090523752,-763581.827886369,,
1446684473000.0,45197,LEO,STARLINK-45197,-473630.82262389886,4280995.658300703,-5430417.615987784,,
1446684473000.0,45198,LEO,STARLINK-45198,-4067197.709462026,4928946.193804704,-2678726.920956493,,
1446684473000.0,45201,LEO,STARLINK-45201,2083060.0444424695,3612200.8526151637,-5536966.488759913,,
1446684473000.0,45206,LEO,STARLINK-45206,-5122897.540627007,3037119.3819102845,3377369.9437959287,,
1446684473000.0,45207,LEO,STARLINK-45207,2612938.918630583,5613532.679501024,-2755774.3154512676,,
1446684473000.0,45212,LEO,STARLINK-45212,-6144040.773417677,2706415.6326820073,1601289.4348726943,,
1446684473000.0,45217,LEO,STARLINK-45217,-5462211.282544696,4175485.6716131815,-845703.6354582139,,
1446684473000.0,45222,LEO,STARLINK-45222,606150.6139392845,5023227.084141491,-4736708.441858867,,
1446684473000.0,45223,LEO,STARLINK-45223,5199303.644098643,-4129140.7236372354,-1980259.7759668175,,
1446684473000.0,45225,LEO,STARLINK-45225,-3877743.8641291307,-1715574.9460914878,5465539.6682690745,,
1446684473000.0,45227,LEO,STARLINK-45227,3781257.7223648187,5676025.075502776,-410503.1534944918,,
1446684473000.0,45228,LEO,STARLINK-45228,3896458.7579401205,1701776.5653132752,-5473887.790616119,,
1446684473000.0,45229,LEO,STARLINK-45229,-2386289.715793749,-3575199.1569293607,5419957.888908557,,
1446684473000.0,45230,LEO,STARLINK-45230,-591409.5255880313,-5023046.035405683,4721038.943196831,,
1446684473000.0,45235,LEO,STARLINK-45235,-5667711.2413857635,-1588036.918209887,3639835.4225364104,,
1446684473000.0,45237,LEO,STARLINK-45237,-5155227.094942487,4164509.0982407257,2003535.5721900049,,
1446684473000.0,45360,LEO,STARLINK-45360,-4134212.0200813883,442710.34863162535,-5436155.57412551,,
1446684473000.0,45361,LEO,STARLINK-45361,-433399.3222262279,6628256.568689723,-1611644.0117108095,,
1446684473000.0,45362,LEO,STARLINK-45362,-3324930.363060336,2554310.575048265,-5270717.037109957,,
1446684473000.0,45366,LEO,STARLINK-45366,811434.3080249246,5942105.49305963,3454357.5675151376,,
1446684473000.0,45367,LEO,STARLINK-45367,3412239.3137395326,-5685823.840897597,1990326.788822417,,
1446684473000.0,45368,LEO,STARLINK-45368,-2231769.4891136526,6555533.4568559425,-142162.50341246257,,
1446684473000.0,45369,LEO,STARLINK-45369,-4255859.7416558,4086730.862473549,-3634539.069802862,,
1446684473000.0,45370,LEO,STARLINK-45370,-4502291.80982767,2042162.1924208738,-4857594.485408341,,
1446684473000.0,45374,LEO,STARLINK-45374,2271299.4323896766,4520704.536219525,4719548.495742028,,
1446684473000.0,45375,LEO,STARLINK-45375,4208185.111145245,-4118547.269864804,3636979.4101231107,,
1446684473000.0,45376,LEO,STARLINK-45376,-2281457.9362226455,-4520613.908764958,-4732087.2389492495,,
1446684473000.0,45377,LEO,STARLINK-45377,-1115776.1631626606,-5876532.949778359,-3338877.874029255,,
1446684473000.0,45379,LEO,STARLINK-45379,1448386.0044808784,-6651323.703070382,-620680.7861093682,,
1446684473000.0,45383,LEO,STARLINK-45383,-582403.8206922307,6814439.4601134015,-1102432.5535432657,,
1446684473000.0,45384,LEO,STARLINK-45384,-4168752.231377009,-6946.25505907799,-5537202.085802217,,
1446684473000.0,45386,LEO,STARLINK-45386,1032985.8161568398,-6375840.306316856,2234612.90116792,,
1446684473000.0,45387,LEO,STARLINK-45387,3350769.2816243945,-2678083.0593794775,5338219.351918079,,
1446684473000.0,45388,LEO,STARLINK-45388,1002086.4941809222,5982000.048609598,3119754.583110691,,
1446684473000.0,45389,LEO,STARLINK-45389,3884543.8413744518,-1630970.5461742512,5389051.376992465,,
1446684473000.0,45390,LEO,STARLINK-45390,864021.6744114034,6822112.989013371,818058.2446037346,,
1446684473000.0,45394,LEO,STARLINK-45394,-647666.5469505687,-4613614.59143838,4718951.366673995,,
1446684473000.0,45395,LEO,STARLINK-45395,-2228615.437784981,-5993262.158052685,-2669673.329447973,,
1446684473000.0,45397,LEO,STARLINK-45397,550265.3698707973,-6820855.376796632,1060720.8254557874,,
1446684473000.0,45398,LEO,STARLINK-45398,-5572355.873228983,-234893.27823152323,-3531074.80773574,,
1446684473000.0,45399,LEO,STARLINK-45399,612612.7712376297,-6111306.308436628,3020076.92009194,,
1446684473000.0,45404,LEO,STARLINK-45404,-997828.3118902955,-6826575.548083051,602885.1259837851,,
1446684473000.0,45405,LEO,STARLINK-45405,3966536.614663247,-1301193.946629607,5515639.640512838,,
1446684473000.0,45406,LEO,STARLINK-45406,1938290.7926055018,-5307685.231681601,3994760.982367504,,
1446684473000.0,45408,LEO,STARLINK-45408,4311093.5475503,-2019377.0057145245,4902670.927030039,,
1446684473000.0,45412,LEO,STARLINK-45412,500435.37173131434,-6456738.687399139,2446217.488497093,,
1446684473000.0,45413,LEO,STARLINK-45413,4513499.213724383,5049492.472999268,467311.01377546106,,
1446684473000.0,45414,LEO,STARLINK-45414,-4142587.72368285,-3311033.692249594,-4461652.346474792,,
1446684473000.0,45415,LEO,STARLINK-45415,2361829.954828372,6379496.003754668,1293820.8215909824,,
1446684473000.0,45416,LEO,STARLINK-45416,4681838.689975634,-651483.8313228847,4823350.131708048,,
1446684473000.0,45417,LEO,STARLINK-45417,-3722449.6335458383,-1891964.9619637344,-5417705.300717449,,
1446684473000.0,45419,LEO,STARLINK-45419,735689.8096957095,-6652609.722941745,-1789046.5753514636,,
1446684773000.0,44751,LEO,STARLINK-44751,-1419507.4970765908,4350183.3140240265,5188591.319177202,,
1446684773000.0,44752,LEO,STARLINK-44752,-4386180.468393016,2587429.8787549376,-4595030.444796277,,
1446684773000.0,44753,LEO,STARLINK-44753,1916391.2007485842,-6059169.641514238,-2762264.497962126,,
1446684773000.0,44758,LEO,STARLINK-44758,-3226785.2393589965,3384209.9468051693,-4893822.128746253,,
1446684773000.0,44759,LEO,STARLINK-44759,-3445777.937358348,-2369621.952995107,-5175178.785680011,,
1446684773000.0,44761,LEO,STARLINK-44761,710550.9694791711,6443187.293348253,561356.6829202145,,
1446684773000.0,44765,LEO,STARLINK-44765,-4298606.91370776,5203319.401959553,-301657.7891351034,,
1446684773000.0,44768,LEO,STARLINK-44768,-6477435.4728868175,2262959.2278335947,937907.5480361268,,
1446684773000.0,44771,LEO,STARLINK-44771,-5057820.641947361,-2088914.0626716174,-4252708.7905223835,,
1446684773000.0,44772,LEO,STARLINK-44772,-1244331.204612058,-4093666.7844312945,-5452669.094120964,,
1446684773000.0,44925,LEO,STARLINK-44925,-4343148.8409239,-4786507.0354328565,2029961.343902474,,
1446684773000.0,44927,LEO,STARLINK-44927,-4421721.963152399,1128305.1368342065,5199443.518115452,,
1446684773000.0,44930,LEO,STARLINK-44930,-1261876.9187912692,6743550.94653104,-960300.9595898171,,
1446684773000.0,44933,LEO,STARLINK-44933,5610003.140195988,3707081.615621623,-721651.4066463022,,
1446684773000.0,44940,LEO,STARLINK-44940,-1209862.5965242684,3768326.819859555,5211182.94241541,,
1446684773000.0,44941,LEO,STARLINK-44941,4167021.050045717,991310.5215976256,-5449964.974823249,,
1446684773000.0,44942,LEO,STARLINK-44942,-6258981.192469988,-2283951.8715777816,14314.789648275771,,
1446684773000.0,44949,LEO,STARLINK-44949,-1786998.228854669,-6422027.1110974075,1870756.735872859,,
1446684773000.0,44961,LEO,STARLINK-44961,-3351723.835555512,-5987246.050377413,935457.9504616737,,
1446684773000.0,44968,LEO,STARLINK-44968,-4275380.343610627,-4704863.056150183,2737543.5940864454,,
1446684773000.0,44972,LEO,STARLINK-44972,-97330.26002171375,4281952.798858964,5186179.394548625,,
1446684773000.0,45044,LEO,STARLINK-45044,5771835.748965316,3704352.9074081215,959670.1013901096,,
1446684773000.0,45047,LEO,STARLINK-45047,-5563632.732756941,-2057674.9382603164,3564992.828931473,,
1446684773000.0,45048,LEO,STARLINK-45048,-1582701.5345335975,-4644715.246279666,-4801074.7744352855,,
1446684773000.0,45054,LEO,STARLINK-45054,5006502.405377242,49019.09030533737,-4792420.791423974,,
1446684773000.0,45057,LEO,STARLINK-45057,3636643.357667,5470713.727196581,1837149.3913241373,,
1446684773000.0,45060,LEO,STARLINK-45060,-5497003.785470006,-3770023.6470956467,1872109.1846140565,,
1446684773000.0,45061,LEO,STARLINK-45061,-4998888.800688252,-51470.01123339808,4782821.159199695,,
1446684773000.0,45062,LEO,STARLINK-45062,810142.4092752094,5208013.410832041,4352955.647939127,,
1446684773000.0,45064,LEO,STARLINK-45064,-5446106.434116757,798692.5092535749,4193678.89831142,,
1446684773000.0,45071,LEO,STARLINK-45071,6421348.685506122,2415942.991423708,-957319.4249801191,,
1446684773000.0,45072,LEO,STARLINK-45072,6298751.155456144,832088.5431250993,-2765122.632562301,,
1446684773000.0,45074,LEO,STARLINK-45074,1884856.344112303,-3717221.598217647,-5537971.906217082,,
1446684773000.0,45080,LEO,STARLINK-45080,4430141.516274669,4546712.108936458,2760126.1467177477,,
1446684773000.0,45081,LEO,STARLINK-45081,-3877185.6206836617,2422893.9876694414,5192143.263175074,,
1446684773000.0,45083,LEO,STARLINK-45083,-4539529.823959279,-1541410.7248845364,-4634289.940396035,,
1446684773000.0,45087,LEO,STARLINK-45087,-3001388.980776773,-3990881.0547787515,-4806084.06386879,,
1446684773000.0,45088,LEO,STARLINK-45088,-3871893.726249576,3169154.7258466966,4778630.56429425,,
1446684773000.0,45093,LEO,STARLINK-45093,4710845.367074335,-2675634.373749319,4016332.279805061,,
1446684773000.0,45096,LEO,STARLINK-45096,1762120.089292244,-4289323.893653044,-5072762.176484568,,
1446684773000.0,45098,LEO,STARLINK-45098,4935966.314905287,3281704.6144826994,3572155.896467048,,
1446684773000.0,45100,LEO,STARLINK-45100,3009801.8828147473,3981067.6208749227,4791735.685850536,,
1446684773000.0,45179,LEO,STARLINK-45179,722818.9837642964,-5581392.164667373,3835603.146585647,,
1446684773000.0,45183,LEO,STARLINK-45183,-2102286.61783846,-3712713.098021126,5444878.044089996,,
1446684773000.0,45185,LEO,STARLINK-45185,2549836.3318582783,-4302838.145170848,4780436.673374159,,
1446684773000.0,45187,LEO,STARLINK-45187,-6657873.073782161,113598.66754883339,1896059.1923786483,,
1446684773000.0,45189,LEO,STARLINK-45189,-6738814.471548508,1600144.7772317524,-1404.293347434182,,
1446684773000.0,45190,LEO,STARLINK-45190,4804615.605191084,-4168846.1731268484,-2501562.7598775635,,
1446684773000.0,45197,LEO,STARLINK-45197,-2550620.65895894,4310716.299955097,-4790311.973873872,,
1446684773000.0,45198,LEO,STARLINK-45198,-5294864.289883775,4359869.783248322,-971270.7731921817,,
1446684773000.0,45201,LEO,STARLINK-45201,165411.48719268097,4577687.981574542,-5201886.309911972,,
1446684773000.0,45206,LEO,STARLINK-45206,-4914001.943917343,1231000.6709709372,4601866.254580305,,
1446684773000.0,45207,LEO,STARLINK-45207,1550369.7449436565,6510419.373584119,-1045060.716154279,,
1446684773000.0,45212,LEO,STARLINK-45212,-5966055.451586911,1258206.6636749636,3226842.3183572693,,
1446684773000.0,45217,LEO,STARLINK-45217,-6095071.84570433,3141284.9429714405,966000.7336459658,,
1446684773000.0,45222,LEO,STARLINK-45222,-1020467.2885052785,5858506.829104965,-3558294.9494653735,,
1446684773000.0,45223,LEO,STARLINK-45223,5348484.255197758,-2620100.2310879203,-3542976.629262751,,
