name,norad,epoch_utc,eci_x_km,eci_y_km,eci_z_km,eci_vx_kms,eci_vy_kms,eci_vz_kms,ecef_X_m,ecef_Y_m,ecef_Z_m,lat_deg,lon_deg,alt_km
,45057,2025-11-09T00:38:25Z,751.246297102589,6025.154930094798,-3120.8904433255684,-4.787188325572976,3.194951679909921,5.02485155790173,5499556.788585696,2575831.5384801994,-3118780.6472720304,-27.32936941682609,25.097017299725934,453.2613938827994
,45060,2025-11-09T00:38:25Z,-3159.7252549442123,-3127.2689016235618,5300.030045279293,3.488410573735568,-6.510521758113128,-1.7575463558199287,-4338654.752032687,1012595.9919729793,5291948.907487429,50.080615630523035,166.8629316825062,552.0594152134393
,45061,2025-11-09T00:38:25Z,-4466.32971735957,1433.1218023713677,5085.169430679128,0.4373651301256206,-7.1886571141707805,2.4034748064887537,-1180441.2153882172,4552188.151596262,5073956.53366123,47.350922803425775,104.5373360947695,551.5468319311321
,45062,2025-11-09T00:38:25Z,-1550.7455897143834,6660.669057738347,-146.27444820030317,-4.4835987872898855,-0.9144327280526421,6.11432296674434,4803464.872646505,4867747.581557127,-149948.54815035703,-1.2639744050942323,45.38082853570123,462.2480109329501
,45064,2025-11-09T00:38:25Z,-3985.5669232717964,1675.3810813910973,5399.745076433314,-1.2683623760059182,-7.363778366926977,1.3458040178988002,-719312.8801603169,4275754.927738576,5389750.192950817,51.35756564265048,99.54948583369217,552.1585592606012
,45071,2025-11-09T00:38:25Z,3818.523576129084,2982.703396874511,-4955.473886395844,-1.8003173651821178,6.837009909548425,2.7302617123930424,4567767.9678482255,-1646062.5493460079,-4945739.895158501,-45.705373391267905,-19.817374982094815,563.4598109849653
,45072,2025-11-09T00:38:25Z,4151.403366066402,667.30082029822,-5509.967473217084,-0.2659692477696962,7.53899030249988,0.7131759209049309,2788691.5684898803,-3165150.4120151727,-5499473.619258672,-52.68027878031463,-48.61797087022647,566.3794047889426
,45074,2025-11-09T00:38:25Z,2293.283689713414,-5629.08370559239,-3327.805710412361,3.7929771339421494,4.414268601040247,-4.8610073519488814,-3529985.9597271346,-4951980.832698715,-3322215.37104271,-28.79670165228617,-125.4829134954797,556.4438108358138
,45080,2025-11-09T00:38:25Z,1877.023623262386,6293.745481766616,-2207.7954118026405,-4.058211010385759,3.159867757124344,5.575152286024057,6326576.64461677,1769384.33220062,-2202844.32458779,-18.644412124970412,15.624969310928938,552.8726798994206
,45081,2025-11-09T00:38:25Z,-3329.6035439652046,3925.274018639734,4624.001658614682,-2.7148530432227824,-6.252314936353908,3.3436115807361877,1534268.218444506,4921017.120070864,4615738.796700923,42.01900779842265,72.68363479991793,550.6107360065461
,45083,2025-11-09T00:38:25Z,-5402.779668361694,-3890.580166208325,-356.8971416115112,2.980007867566701,-3.5795753068934726,-6.173524601800441,-6174078.110108689,2489460.177967933,-370635.39099311386,-3.207171959252088,158.04013400487966,289.3144214708703
,45087,2025-11-09T00:38:25Z,-2118.489778818811,-6562.184466727376,-659.2590973442011,4.519769170016113,-0.8601528397366275,-6.034125382413295,-6678542.5761193065,-1714636.1947525027,-664818.6242944137,-5.54129214758114,-165.60098264247688,549.1736734726188
,45088,2025-11-09T00:38:25Z,-2503.814827171866,3967.978456553539,5084.342073272585,-4.279495449014592,-5.791191838644696,2.405788691074802,2010729.892319256,4246616.499038411,5078158.682267811,47.39979151649523,64.66291909591064,551.8243817280535
,45093,2025-11-09T00:38:25Z,6668.631868864661,-776.841894818072,-704.719710006335,1.1643501732253696,4.543668473462698,6.092557088460434,2905364.02089635,-6054448.898909838,-687952.0670697078,-5.88611265346586,-64.36492795499278,372.69865598700716
,45096,2025-11-09T00:38:25Z,304.09340816275045,-5018.147256744489,-4682.889090442288,6.050261977227009,3.3429263608709157,-3.193636254103743,-4073865.9231256195,-2946791.2477879934,-4682282.409454292,-43.13934982763574,-144.12026974838676,502.31643068281335
,45098,2025-11-09T00:38:25Z,3406.9678977157487,5896.565475401853,-1269.2646212724744,-3.4545158920173926,3.2616961983423858,5.915917998172034,6806506.389226128,265743.97347606876,-1260477.616692012,-10.54733509301734,2.2358428588504826,549.9078542189043
,45100,2025-11-09T00:38:25Z,2135.04472301635,6557.3026924853,635.9869589297681,-4.5156743793595115,0.8762562391979122,6.037248319150947,6683287.852954583,1697983.434555124,641588.0762608506,5.348448171013229,14.255190774124024,547.4440654234929
,45179,2025-11-09T00:38:25Z,-437.18713022901716,-4167.752658515342,5362.529656613543,7.575365379457303,0.4976415247672183,1.0013010804335862,-3764544.6844968125,-1844731.4113384471,5361267.982967833,52.150954592678595,-153.8938632728264,440.89139787823876
,45183,2025-11-09T00:38:25Z,-2749.001048386911,-5845.615581563616,2488.8880603277776,5.325433175525658,-0.192014856525431,5.407196233502668,-6413737.126827129,-792250.9556194021,2481755.869855745,21.126909196599545,-172.9582619190678,547.2515973720788
,45185,2025-11-09T00:38:25Z,1016.3930154856872,-4591.86300487503,5073.6980769837955,6.014980019271339,3.9725340477127142,2.3839979989016715,-3346477.454440393,-3300780.1820523227,5076082.8976268,47.376961707175035,-135.39387966300322,551.5410143929092
,45187,2025-11-09T00:38:25Z,-5584.898255736652,-2768.3643222094265,-3027.1946339298925,0.05496013359833421,-5.641193154236551,5.067818104350812,-5318864.675119986,3237089.047087562,-3041344.3839217187,-26.173186886895976,148.67508600909682,555.5602174652201
,45189,2025-11-09T00:38:25Z,-5265.084257899465,-835.3086510015758,-4428.982236624504,-2.040443204202248,-6.336602573000196,3.6248965280699963,-3511810.73626629,3996034.810319376,-4442255.446201503,-40.03696553823276,131.30977722839526,561.3816116638945
,45190,2025-11-09T00:38:25Z,6171.789480927957,-1541.86546359505,2480.448290007472,3.2625398875251888,4.268542355989508,-5.439063621382547,1988858.8071042078,-6036202.89107931,2495928.5029923595,21.56368492681159,-71.76354817197122,452.68646919836937
,45197,2025-11-09T00:38:25Z,-1035.1119243840649,4589.489928303309,-5089.578424498877,-6.001180552147546,-3.976522690880607,-2.3671063236481062,3334496.6103262547,3315305.6129040234,-5092010.41348674,-47.45569442120547,44.8346476981725,564.4239032759027
,45198,2025-11-09T00:38:25Z,-4499.76502193423,1837.2811891557674,-4941.051056672953,-5.022424073264114,-4.9784421691411,2.725263214769848,-842816.039047934,4775126.625554677,-4952303.074515104,-45.78096536430578,100.00968609327418,563.7123587497807
,45201,2025-11-09T00:38:25Z,1703.408329979531,4859.512588336967,-4639.07125914497,-6.778991127936475,-0.7717399003896321,-3.300962332379091,5024602.103461807,1145125.5344668839,-4634599.420375226,-42.141602485959524,12.83863915116902,562.3541903088496
,45206,2025-11-09T00:38:25Z,-6808.327867245228,-707.3177298736342,304.2793428333433,0.7521802009345164,-4.5362115952373525,6.089043809127708,-4234226.777143924,5379136.51653367,287109.83320589736,2.416624654685168,128.20831199005096,473.6317517374843
,45207,2025-11-09T00:38:25Z,-84.67896853958099,4627.804985238707,-4956.469885218015,-6.7847313767641095,2.533733596809182,2.48719058545609,3874259.5001462703,2532487.7167717894,-4956507.677232697,-47.13989440774752,33.17144612634638,414.9292837310286
,45212,2025-11-09T00:38:25Z,-6475.057023682161,-1733.4173455801995,-1672.0365297924272,-0.16502488178080532,-4.921983682120834,5.784883078052455,-4921073.949370134,4545234.905783096,-1688396.1975878065,-14.230506899786445,137.27360919896944,531.6051003623559
,45217,2025-11-09T00:38:25Z,-5805.168870060011,158.32920137362308,-3782.2256655762862,-3.022219051403911,-5.366162059913114,4.421391301325124,-2961025.211619912,4984649.3054941585,-3796826.504668363,-33.382113221802264,120.71153124525175,558.690564474083
,45222,2025-11-09T00:38:25Z,-200.5327807997155,4175.584226923056,-5528.736642708299,-7.528438988325982,-0.791826339861288,-0.3253063212326082,3430838.315101557,2387734.1770139146,-5529080.022306504,-53.08085587683081,34.8364622167949,566.7734877471408
